title,url,summary,published_at,result_page,collected_at,search_term,source
Integração TEC: mais de 37% dos órgãos e empresas não seguem regras da LGPD,https://g1.globo.com/mg/zona-da-mata/mg1-zona-da-mata/video/integracao-tec-mais-de-37-dos-orgaos-e-empresas-nao-seguem-regras-da-lgpd-14903650.ghtml,Falhas na proteção de dados podem facilitar golpes e outros crimes. Veja esse e outros destaques do quadro.,2026-08-26T13:52:03-03:00,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
EmpregaTrans: capacitação gratuita para pessoas trans e travestis abre 30 vagas em Cuiabá; saiba como se inscrever,https://g1.globo.com/mt/mato-grosso/noticia/2026/09/15/empregatrans-capacitacao-gratuita-para-pessoas-trans-abre-30-vagas-em-cuiaba-saiba-como-se-inscrever.ghtml,"O EmpregaTrans é realizado pela Aliança Nacional LGBTI+ em parceria com o TRT-MT. Divulgação Estão abertas até 23 de setembro as inscrições para o projeto EmpregaTrans, que oferece capacitação profissional gratuita para pessoas transexuais e travestis em Cuiabá. O curso tem 30 vagas e prepara os...",2026-09-15T16:40:53.050Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda nova regra da Anac que está em vigor,https://g1.globo.com/turismo-e-viagem/noticia/2026/09/15/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-nova-regra-da-anac-que-esta-em-vigor.ghtml,"Novas regras da Anac podem impedir por até 1 ano embarque de passageiros indisciplinados Enquanto confusões dentro de aviões se multiplicam em vídeos compartilhados nas redes sociais, a Agência Nacional de Aviação Civil (Anac) implementa nesta segunda-feira (14) um sistema de punições a passageiros...",2026-09-15T03:00:01.276Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Por que o Brasil multou o TikTok e suspendeu lives do Discord? Entenda a diferença entre os casos,https://g1.globo.com/tecnologia/noticia/2026/08/25/por-que-a-anpd-multou-o-tiktok-e-suspendeu-lives-do-discord-entenda-a-diferenca-entre-os-casos.ghtml,"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores A Agência Nacional de Proteção de Dados (ANPD) anunciou nesta terça-feira (25) a aplicação de multa de R$ 153,7 milhões ao TikTok após identificar irregularidades no tratamento de dados pessoais de crianças e adolescentes. O...",2026-08-25T19:27:03.279Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Novos médicos cooperados concluem curso de formação,https://g1.globo.com/pe/petrolina-regiao/especial-publicitario/unimed-vale-do-sao-francisco-o-cuidado-esta-em-tudo/noticia/2026/09/04/novos-medicos-cooperados-concluem-curso-de-formacao.ghtml,"A capacitação teve carga horária de 8 horas com conteúdo teóricos e práticos. Arquivo Unimed O Nicoop – Núcleo de Integração Cooperativista e a diretoria executiva da Unimed Vale do São Francisco, concluíram no sábado (15/08), em Petrolina, o curso de formação cooperativista com a capacitação de 8...",2026-09-04T21:18:20.713Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Como a comunicação digital transforma a experiência do consumidor,https://g1.globo.com/am/amazonas/especial-publicitario/amazon-copy/noticia/2026/09/08/como-a-comunicacao-digital-transforma-a-experiencia-do-consumidor.ghtml,"Da vitrine ao atendimento: como a comunicação digital transforma a experiência do consumidor Divulgação / Amazon Copy A forma como as marcas se comunicam com seus públicos está mudando. Em uma rotina cada vez mais conectada, consumidores e colaboradores convivem diariamente com conteúdos dinâmicos...",2026-09-09T19:32:31.439Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Gilmar Mendes critica vazamento de conversas privadas de Vorcaro e ex-namorada e defende 'LGPD Penal',https://g1.globo.com/politica/noticia/2026/03/09/gilmar-mendes-critica-vazamento-de-conversas-privadas-de-vorcaro-e-ex-namorada-e-defende-lgpd-penal.ghtml,"Caso Vorcaro e Banco Master: o sistema vai contra-atacar ou investigar a si mesmo? O ministro do Supremo Tribunal Federal (STF) Gilmar Mendes classificou como uma “gravíssima violação ao direito à intimidade” a o vazamento de conversas entre o banqueiro Daniel Vorcaro, preso na semana passada em...",2026-03-09T19:04:08.578Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Santarém lança canal digital para denúncias e reclamações sobre o SUS,https://g1.globo.com/pa/santarem-regiao/noticia/2026/09/04/santarem-lanca-canal-digital-para-denuncias-e-reclamacoes-sobre-o-sus.ghtml,"Santarém ganha ferramenta digital para população enviar denúncias, reclamações e sugestões ao SUS Reprodução/ RBS TV Moradores de Santarém, no oeste do Pará, ganharam uma nova ferramenta para participar da fiscalização e do acompanhamento dos serviços públicos de saúde. Uma plataforma digital...",2026-09-04T20:33:30.561Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Governo lança medidas para padronizar uso de biometria em portos e aeroportos,https://g1.globo.com/economia/noticia/2026/08/31/governo-quer-padronizar-uso-de-biometria-em-portos-e-aeroportos.ghtml,"O Ministério dos Portos e Aeroportos lançou na tarde desta segunda-feira (31) uma política para ampliar e padronizar o uso de biometria em aeroportos, portos e hidrovias. A iniciativa busca reforçar a segurança e agilizar a identificação de passageiros e trabalhadores nesses locais. Batizada de...",2026-08-31T22:52:12.712Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
TikTok leva multa inédita no Brasil: o que causou a decisão? E o que muda? Veja perguntas e respostas,https://g1.globo.com/tecnologia/noticia/2026/08/26/tiktok-leva-multa-inedita-no-brasil-o-que-causou-a-decisao-e-o-que-muda-veja-perguntas-e-respostas.ghtml,"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores A multa aplicada contra a ByteDance, dona do TikTok, na terça-feira (25) foi uma medida inédita contra uma empresa de rede social no Brasil. A Agência Nacional de Proteção de Dados (ANPD) determinou que a empresa pague R$ 153,7...",2026-08-26T13:17:40.549Z,1,2026-09-16T13:15:37.481564+00:00,lgpd,G1
Carteirinha do Passe Livre causa dúvidas com nova exigência de documento da LGPD,https://g1.globo.com/mg/triangulo-mineiro/mg1-uberlandia/video/carteirinha-do-passe-livre-causa-duvidas-com-nova-exigencia-de-documento-da-lgpd-14312548.ghtml,"Volta às aulas provoca aumento na procura pelo serviço, que registrou filas e estudantes sem entender a documentação necessária.",2026-02-03T13:40:26-03:00,2,2026-09-16T13:15:38.626725+00:00,lgpd,G1
Prefeitura suspende aplicativo de Zona Azul após vazamento de dados de clientes em Poços de Caldas,https://g1.globo.com/mg/sul-de-minas/noticia/2026/07/14/prefeitura-suspende-aplicativo-de-zona-azul-apos-vazamento-de-dados-de-clientes-em-pocos-de-caldas.ghtml,Prefeitura suspende aplicativo de Zona Azul após vazamento de dados em Poços de Caldas A Prefeitura de Poços de Caldas (MG) determinou a suspensão temporária do aplicativo da empresa EXP Parking que administra o estacionamento rotativo da cidade e o cancelamento de notificações de irregularidades...,2026-07-14T18:14:28.533Z,2,2026-09-16T13:15:38.626725+00:00,lgpd,G1
Fiança Locatícia e LGPD: como proteger dados em um processo tão sensível,https://g1.globo.com/sp/campinas-regiao/especial-publicitario/liveb-bank-liveb-bank-fianca-locaticia/noticia/2025/11/17/fianca-locaticia-e-lgpd-como-proteger-dados-em-um-processo-tao-sensivel.ghtml,"Fiança Locatícia e LGPD: como proteger dados em um processo tão sensível Crédito: Divulgação Alugar um imóvel envolve muito mais do que visitar apartamentos e assinar papéis. Por trás de cada contrato, há uma grande quantidade de dados pessoais sensíveis circulando: documentos, comprovantes de...",2025-11-17T17:18:12.315Z,2,2026-09-16T13:15:38.626725+00:00,lgpd,G1
Homem-Aranha na BMW abre discussão: montadoras podem colocar propaganda na tela do carro?,https://g1.globo.com/carros/noticia/2026/08/20/propaganda-na-tela-do-carro.ghtml,"BMW fez ação em parceria com estúdio de cinema em telas de multimídia de carros da marca Reprodução / Instagram No começo de agosto, proprietários de BMW em mais de 70 países se depararam com um novo ícone na tela da central multimídia dos carros. Ao ligar o veículo, um banner do filme...",2026-08-20T06:00:48.715Z,2,2026-09-16T13:15:38.626725+00:00,lgpd,G1
"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores",https://g1.globo.com/tecnologia/noticia/2026/08/25/anpd-multa-tiktok-por-falhas-na-protecao-de-menores.ghtml,"ANPD multa TikTok em R$ 153,7 milhões por falhas na proteção de menores A Agência Nacional de Proteção de Dados (ANPD) multou em R$ 153,7 milhões a ByteDance, dona do TikTok, por falhas no tratamento de dados pessoais de crianças e adolescentes. A decisão foi publicada no Diário Oficial da União...",2026-08-26T00:01:26.464Z,2,2026-09-16T13:15:38.626725+00:00,lgpd,G1
"Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição, LGPD e outras",https://g1.globo.com/ba/bahia/videos-jornal-da-manha/video/vazamento-de-dados-de-mais-de-600-pessoas-com-hiv-na-ba-viola-constituicao-lgpd-e-outras-13952279.ghtml,Código de Ética Médica e as normas do Sistema Único de Saúde (SUS) também foram violadas após a Prefeitura de Feira de Santana divulgar os dados sigilosos.,2025-09-23T07:26:17-03:00,2,2026-09-16T13:15:38.626725+00:00,lgpd,G1
